deputado;partido;uf;impeachment_dilma;emendas_prometidas;emendas_pagas;voto_temer
João Gualberto;PSDB;BA;SIM;8650741.97;326632.25;SIM
João Marcelo Souza;PMDB;MA;NÃO;5069873.00;251585.59;NÃO
João Paulo Kleinübing;PSD;SC;SIM;NaN;NaN;NÃO
João Paulo Papa;PSDB;SP;SIM;6322948.00;700270.83;SIM
João Rodrigues;PSD;SC;SIM;9259295.55;1017740.52;NÃO
Joaquim Passarinho;PSD;PA;SIM;6580865.00;563813.51;SIM
Jony Marcos;PRB;SE;SIM;8095213.00;1412708.65;SIM
Jorge Boeira;PP;SC;SIM;820000.00;35423.35;SIM
Jorge Côrte Real;PTB;PE;SIM;8631053.00;742490.84;NÃO
Jorge Solla;PT;BA;NÃO;5383490.00;2106402.48;SIM
Jorge Tadeu Mudalen;DEM;SP;SIM;7673264.00;1635589.64;NÃO
Jorginho Mello;PR;SC;SIM;8447967.78;4562799.88;SIM
José Airton Cirilo;PT;CE;NÃO;5434803.00;0.00;SIM
José Carlos Aleluia;DEM;BA;SIM;4029005.27;1510855.45;NÃO
José Carlos Araújo;PR;BA;NÃO;10120007.78;213569.47;NÃO
José Fogaça;PMDB;RS;SIM;7917283.00;3530017.67;NÃO
José Guimarães;PT;CE;NÃO;10120007.78;213569.47;SIM
José Mentor;PT;SP;NÃO;8542543.00;1547924.22;SIM
José Nunes;PSD;BA;NÃO;8514518.00;3046964.05;SIM
José Otávio Germano;PP;RS;SIM;5567623.00;1781033.97;NÃO
José Priante;PMDB;PA;SIM;8353723.94;1196259.39;NÃO
José Reinaldo;PSB;MA;SIM;5456838.00;10553.96;NÃO
José Rocha;PR;BA;NÃO;6122865.65;1222013.54;NÃO
José Sarney Filho;PV;MA;SIM;NaN;NaN;NÃO
José Stédile;PSB;RS;SIM;9463055.55;4427781.20;SIM
Josi Nunes;PMDB;TO;SIM;8810880.00;1235124.12;NÃO
Josias Gomes;PT;BA;Não estava no cargo;NaN;NaN;SIM
Josué Bengston;PTB;PA;SIM;6413860.00;1651719.61;NÃO
Jovair Arantes;PTB;GO;SIM;6804047.99;962318.83;NÃO
Jozi Araújo;PODE;AP;NÃO;0.00;1031536.69;NÃO
Júlia Marinho;PSC;PA;SIM;4991934.00;1074834.16;NÃO
Júlio César;PSD;PI;SIM;9091825.54;4428753.53;NÃO
Júlio Delgado;PSB;MG;SIM;6237724.79;2036883.91;SIM
Julio Lopes;PP;RJ;SIM;6905151.00;584846.16;NÃO
Junior Marreca;PEN;MA;NÃO;5957953.00;631324.05;NÃO
Juscelino Filho;DEM;MA;SIM;9821349.70;0.00;NÃO
Jutahy Junior;PSDB;BA;SIM;7065274.00;1308021.47;SIM
Keiko Ota;PSB;SP;SIM;2565770.00;1708774.00;SIM
Laércio Oliveira;SD;SE;SIM;8697039.41;928145.96;SIM
Laerte Bessa;PR;DF;SIM;4570700.00;1324980.43;NÃO
Laudivio Carvalho;SD;MG;SIM;9231494.00;1935666.35;SIM
Laura Carneiro;PMDB;RJ;Não estava no cargo;3685856.35;0.00;SIM
Lázaro Botelho;PP;TO;SIM;7597014.00;3032073.89;NÃO
Leandre;PV;PR;SIM;8482485.00;487310.54;SIM
Lelo Coimbra;PMDB;ES;SIM;6307628.00;850353.71;NÃO
Leo de Brito;PT;AC;NÃO;6314839.69;1093274.03;SIM
Leonardo Monteiro;PT;MG;NÃO;6895441.54;2840708.46;SIM
Leonardo Picciani;PMDB;RJ;NÃO;0.00;1153155.50;NÃO
Leonardo Quintão;PMDB;MG;SIM;0.00;1153155.50;NÃO
Leônidas Cristino;PDT;CE;NÃO;6810236.00;266041.98;SIM
Leopoldo Meyer;PSB;PR;SIM;4689750.00;5140456.67;SIM
Lincoln Portela;PRB;MG;SIM;6597567.55;2598461.96;SIM
Lindomar Garçon;PRB;RO;SIM;4547475.00;3246691.56;NÃO
Lobbe Neto;PSDB;SP;Não estava no cargo;NaN;NaN;SIM
Luana Costa;PSB;MA;Não estava no cargo;NaN;NaN;SIM
Lucas Vergilio;SD;GO;SIM;6980950.00;948836.63;NÃO
Luciana Santos;PCdoB;PE;NÃO;3128800.00;1413293.76;SIM
Luciano Bivar;PSL;PE;Não estava no cargo;NaN;NaN;NÃO
Luciano Ducci;PSB;PR;SIM;7198233.10;3972017.18;Abstenção
Lucio Mosquini;PMDB;RO;SIM;3694370.00;3423571.35;NÃO
Lúcio Vale;PR;PA;NÃO;6499415.00;2364582.73;NÃO
Lucio Vieira Lima;PMDB;BA;SIM;7782557.55;712880.04;NÃO
Luis Carlos Heinze;PP;RS;SIM;7832552.78;2890594.68;SIM
Luis Tibé;PTdoB;MG;SIM;5270537.00;303847.88;NÃO
Luiz Carlos Hauly;PSDB;PR;SIM;5480933.00;1487577.77;NÃO
Luiz Carlos Ramos;PODE;RJ;SIM;6792550.00;54103.24;SIM
Luiz Cláudio;PR;RO;SIM;6820453.00;1541552.23;NÃO
Luiz Couto;PT;PB;NÃO;4610890.00;3550179.80;SIM
Luiz Fernando Faria;PP;MG;SIM;6260174.57;2292642.61;NÃO
Luiz Lauro Filho;PSB;SP;SIM;7751575.00;3652892.06;SIM
Luiz Nishimori;PR;PR;SIM;9447675.80;1560318.09;NÃO
Luiz Sérgio;PT;RJ;NÃO;6686694.17;881991.96;SIM
Luiza Erundina;PSOL;SP;NÃO;1999810.00;3542582.37;SIM
Luizianne Lins;PT;CE;NÃO;10168803.00;195032.93;SIM
Luzia Ferreira;PPS;MG;Não estava no cargo;NaN;NaN;SIM
Macedo;PP;CE;NÃO;7294538.00;829066.60;NÃO
Magda Mofatto;PR;GO;SIM;7476860.00;1676858.73;NÃO
Maia Filho;PP;PI;Não estava no cargo;0.00;887828.96;NÃO
Major Olímpio;SD;SP;SIM;4841289.00;2633170.50;SIM
Mandetta;DEM;MS;SIM;5860716.00;4846765.66;SIM
Mara Gabrilli;PSDB;SP;SIM;5039894.00;252982.81;SIM
Marcelo Aguiar;DEM;SP;Não estava no cargo;NaN;NaN;NÃO
